Худ, 120 мянгат,наадам центрийн урд цэнгэлдэх хотхонд 2 өрөө	340000000.00	120 мянгат	50.0 м²	10	2020	Хан-Уул	Лизинггүй	Ашиглалтад орсон	6800000.0
10 хороололд угсармал5н давхарт 2 өрөө байp	130000000.00	10-р хороолол	56.0 м²	4	1994	Баянгол	Банкны лизингтэй	Ашиглалтад орсон	2321428.5714285714
Баянбүрд рэсиденс хотхонд 51.35м2 2 өрөө	148915000.0	Баянбүрд	51.35 м²	16	2023	Чингэлтэй	Лизинггүй	Ашиглалтад орсон	2900000.0
Цагаан хуаранд 2 өрөө	97000000.00	14-р хороолол	36.2 м²	12	2015	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2679558.0110497237
Буянт ухаа 2-д 2өрөө байр	115000000.00	Нисэх	49.29 м²	9	2017	Хан-Уул	Лизинггүй	Ашиглалтад орсон	2333130.452424427
Алтай хотхонд 2 өрөө орон сууц	118000000.00	Алтай хотхон	41.0 м²	2	2016	Баянгол	Лизинггүй	Ашиглалтад орсон	2878048.7804878047
Халдвартад 61,5мкв 2 өрөө орон сууц	152500000.0	Бусад	61.0 м²	12	2022	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2500000.0
Dolgoon nuurt 2 uruu	148000000.00	Баянбүрд	48.44 м²	15	2022	Сүхбаатар	Лизинггүй	Ашиглалтад орсон	3055326.17671346
Мишээл экспогийн баруун талд 46м2 2 өрөө	147000000.00	Мишээл	46.0 м²	10	2022	Хан-Уул	Лизинггүй	Ашиглалтад орсон	3195652.1739130435
Олимп хотхонд 2 өрөө байр, гал тогоо тусдаа	218000000.00	Олимп хотхон	59.0 м²	10	2018	Баянзүрх	Лизинггүй	Ашиглалтад орсон	3694915.254237288
Худ, river garden хотхоны хойно modun town хотхонд 2 өрөө байр 49.36м2	263000000.00	King Tower	49.36 м²	13	2018	Хан-Уул	Лизинггүй	Ашиглалтад орсон	5328200.9724473255
Өнөр хороололд 2өрөө	130000000.00	Офицер	48.0 м²	16	2023	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2708333.3333333335
Дөлгөөн нуур 2 өрөө байр 53.63м2	96534000.0	Дөлгөөн нуур	53.63 м²	13	2023	Сүхбаатар	Лизинггүй	Ашиглалтад ороогүй	1800000.0
Hunnu2222-t 55,04м² 2өрөө байр	320000000.00	Хүннү	55.04 м²	5	2021	Хан-Уул	Лизинггүй	Ашиглалтад орсон	5813953.488372093
Яармаг дээдсийн өргөө хотхон 2 өрөө 41.39m2	130000000.00	Бусад	41.39 м²	10	2022	Хан-Уул	Банкны лизингтэй	Ашиглалтад орсон	3140855.2790529113
Улаанхуаран эцэс угсармалын гал тогоо тусдаа 2өрөө байр	140000000.00	16-р хороолол	64.0 м²	7	1998	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2187500.0
Дөлгөөн нуур castle town хотхонд 2-өрөө	140000000.00	Дөлгөөн нуур	41.0 м²	13	2023	Сүхбаатар	Лизинггүй	Ашиглалтад ороогүй	3414634.1463414636
Халдвартын эцэст 61м2 2 өрөө	134640000.00	14-р хороолол	61.0 м²	7	2013	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2207213.1147540985
Жуков, сувдан сондор хотхонд 2 өрөө	160000000.00	Бусад	54.0 м²	11	2018	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2962962.962962963
Москва хороололд 2 өрөө орон сууц 5м2	105000000.00	Москва хороолол	45.0 м²	11	2013	Сонгино Хайрхан	Лизинггүй	Ашиглалтад орсон	2333333.3333333335
Хан вилла 2 өрөө байр	147980000.0	Яармаг	52.85 м²	13	2023	Хан-Уул	Лизинггүй	Ашиглалтад ороогүй	2800000.0
Бзд, 26-р хороо, santo smart хотхонд 2 өрөө	222000000.00	Баянмонгол хороолол	61.0 м²	3	2019	Баянзүрх	Лизинггүй	Ашиглалтад орсон	3639344.2622950817
Саруул хороололд	145000000.00	Баянмонгол хороолол	43.0 м²	8	2019	Баянзүрх	Лизинггүй	Ашиглалтад орсон	3372093.023255814
Бүти таун хотхонд 2 өрөө орон сууц	248514000.00	Бусад	59.17 м²	5	2022	Хан-Уул	Банкны лизингтэй	Ашиглалтад орсон	4200000.0
Өгөөмөр захын ард нарт хотхонд 2 өрөө орон сууц	145754000.00	Өгөөмөр захын зүүн	50.26 м²	5	2023	Баянзүрх	Банкны лизингтэй	Ашиглалтад орсон	2900000.0
